sample-id	Sample	File_ID	Raw reads	Type	Soil	Soil.Type	Soil.Location	Location	Group	Run	Raw_reads
SW-CY-YO-03	N099	EKDN230025047-1A_HHG3HDSX7_L3	166179428	Wheat	CY	SW-CY	CY.YO	YO	SW-CY-YO	1	166179428
SW-CY-YO-04	N100	EKDN230025048-1A_HHG3HDSX7_L2	121184266	Wheat	CY	SW-CY	CY.YO	YO	SW-CY-YO	1	121184266
SW-CY-YO-05	N101	EKDN230025049-1A_HHG3HDSX7_L2	145907958	Wheat	CY	SW-CY	CY.YO	YO	SW-CY-YO	1	145907958
SW-CL-YO-01	N102	EKDN230025050-1A_HHG3HDSX7_L2	130101218	Wheat	CL	SW-CL	CL.YO	YO	SW-CL-YO	1	130101218
SW-CL-YO-03	N104	EKDN230025052-1A_HHG3HDSX7_L2	145303390	Wheat	CL	SW-CL	CL.YO	YO	SW-CL-YO	1	145303390
SW-CL-YO-04	N105	EKDN230025053-1A_HHG3HDSX7_L2	108602238	Wheat	CL	SW-CL	CL.YO	YO	SW-CL-YO	1	108602238
SW-CL-YO-05	N106	EKDN230025054-1A_HHG3HDSX7_L2	110172676	Wheat	CL	SW-CL	CL.YO	YO	SW-CL-YO	1	110172676
SW-CY-BU-02	N108	EKDN230025056-1A_HHG3HDSX7_L3	193663168	Wheat	CY	SW-CY	CY.BU	BU	SW-CY-BU	1	193663168
SW-CY-BU-03	N109	EKDN230025057-1A_HHG3HDSX7_L3	178121026	Wheat	CY	SW-CY	CY.BU	BU	SW-CY-BU	1	178121026
SW-CY-BU-04	N110	EKDN230025058-1A_HHG3HDSX7_L3	173192808	Wheat	CY	SW-CY	CY.BU	BU	SW-CY-BU	1	173192808
SW-CY-BU-05	N111	EKDN230025059-1A_HHG3HDSX7_L3	150268630	Wheat	CY	SW-CY	CY.BU	BU	SW-CY-BU	1	150268630
SW-SL-AN-01	N112	EKDN230025060-1A_HHG3HDSX7_L4	124431434	Wheat	SL	SW-SL	SL.AN	AN	SW-SL-AN	1	124431434
SW-SL-AN-02	N113	EKDN230025061-1A_HHG3HDSX7_L4	151585676	Wheat	SL	SW-SL	SL.AN	AN	SW-SL-AN	1	151585676
SW-SL-AN-03	N114	EKDN230025062-1A_HHG3HDSX7_L4	125652300	Wheat	SL	SW-SL	SL.AN	AN	SW-SL-AN	1	125652300
SW-SL-AN-05	N116	EKDN230025064-1A_HHG3HDSX7_L4	170850262	Wheat	SL	SW-SL	SL.AN	AN	SW-SL-AN	1	170850262
SW-SC-SH-01	N117	EKDN230025065-1A_HKTC7DSX7_L3	130219164	Wheat	SC	SW-SC	SC.SH	SH	SW-SC-SH	1	130219164
